transactionTypeCode,transactionTypeDescription,taxBracketHigh,taxRate,fiscalYearEnding,yearDescription,weight,inYearCount
RM,Residential Main,180000,0,2019,2018-19,1,1
RM,Residential Main,250000,0.035,2019,2018-19,1,1
RM,Residential Main,400000,0.05,2019,2018-19,1,1
RM,Residential Main,750000,0.075,2019,2018-19,1,1
RM,Residential Main,1500000,0.1,2019,2018-19,1,1
RM,Residential Main,Inf,0.12,2019,2018-19,1,1
RH,Residential Higher,180000,0.03,2019,2018-19,1,1
RH,Residential Higher,250000,0.065,2019,2018-19,1,1
RH,Residential Higher,400000,0.08,2019,2018-19,1,1
RH,Residential Higher,750000,0.105,2019,2018-19,1,1
RH,Residential Higher,1500000,0.13,2019,2018-19,1,1
RH,Residential Higher,Inf,0.15,2019,2018-19,1,1
NRP,Non-residential premium,150000,0,2019,2018-19,1,1
NRP,Non-residential premium,250000,0.01,2019,2018-19,1,1
NRP,Non-residential premium,1000000,0.05,2019,2018-19,1,1
NRP,Non-residential premium,Inf,0.06,2019,2018-19,1,1
NRN,Non-residential rental,150000,0,2019,2018-19,1,1
NRN,Non-residential rental,2000000,0.01,2019,2018-19,1,1
NRN,Non-residential rental,Inf,0.02,2019,2018-19,1,1
,,,,,,,
RM,Residential Main,180000,0,2020,2019-20,1,1
RM,Residential Main,250000,0.035,2020,2019-20,1,1
RM,Residential Main,400000,0.05,2020,2019-20,1,1
RM,Residential Main,750000,0.075,2020,2019-20,1,1
RM,Residential Main,1500000,0.1,2020,2019-20,1,1
RM,Residential Main,Inf,0.12,2020,2019-20,1,1
RH,Residential Higher,180000,0.03,2020,2019-20,1,1
RH,Residential Higher,250000,0.065,2020,2019-20,1,1
RH,Residential Higher,400000,0.08,2020,2019-20,1,1
RH,Residential Higher,750000,0.105,2020,2019-20,1,1
RH,Residential Higher,1500000,0.13,2020,2019-20,1,1
RH,Residential Higher,Inf,0.15,2020,2019-20,1,1
NRP,Non-residential premium,150000,0,2020,2019-20,1,1
NRP,Non-residential premium,250000,0.01,2020,2019-20,1,1
NRP,Non-residential premium,1000000,0.05,2020,2019-20,1,1
NRP,Non-residential premium,Inf,0.06,2020,2019-20,1,1
NRN,Non-residential rental,150000,0,2020,2019-20,1,1
NRN,Non-residential rental,2000000,0.01,2020,2019-20,1,1
NRN,Non-residential rental,Inf,0.02,2020,2019-20,1,1
,,,,,,,
RM,Residential Main,180000,0,2021,2020-21,0.15,1
RM,Residential Main,250000,0.035,2021,2020-21,0.15,1
RM,Residential Main,400000,0.05,2021,2020-21,0.15,1
RM,Residential Main,750000,0.075,2021,2020-21,0.15,1
RM,Residential Main,1500000,0.1,2021,2020-21,0.15,1
RM,Residential Main,Inf,0.12,2021,2020-21,0.15,1
RH,Residential Higher,180000,0.03,2021,2020-21,0.15,1
RH,Residential Higher,250000,0.065,2021,2020-21,0.15,1
RH,Residential Higher,400000,0.08,2021,2020-21,0.15,1
RH,Residential Higher,750000,0.105,2021,2020-21,0.15,1
RH,Residential Higher,1500000,0.13,2021,2020-21,0.15,1
RH,Residential Higher,Inf,0.15,2021,2020-21,0.15,1
NRP,Non-residential premium,150000,0,2021,2020-21,0.15,1
NRP,Non-residential premium,250000,0.01,2021,2020-21,0.15,1
NRP,Non-residential premium,1000000,0.05,2021,2020-21,0.15,1
NRP,Non-residential premium,Inf,0.06,2021,2020-21,0.15,1
NRN,Non-residential rental,150000,0,2021,2020-21,0.15,1
NRN,Non-residential rental,2000000,0.01,2021,2020-21,0.15,1
NRN,Non-residential rental,Inf,0.02,2021,2020-21,0.15,1
,,,,,,,
RM,Residential Main,180000,0,2021,2020-21,0.5,2
