"","Data","Measure_Code","Measure_ItemName_ENG","Measure_SortOrder","Measure_Hierarchy","Measure_ItemNotes_ENG","Period_Code","Period_ItemName_ENG","Period_SortOrder","Period_Hierarchy","Period_ItemNotes_ENG","Transactionvalue_Code","Transactionvalue_ItemName_ENG","Transactionvalue_SortOrder","Transactionvalue_Hierarchy","Transactionvalue_ItemNotes_ENG","PartitionKey"
"1",6190,"C","Number of transactions","101","0","","201819","2018-19","100","","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"2",73.2,"D","Tax due (£ million)","102","0","","201819","2018-19","100","","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"3",2622,"V","Property value taxed (£ million)","103","0","","201819","2018-19","100","","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"4",500,"C","Number of transactions","101","0","","201819Apr","April 2018-19","111","201819Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"5",6,"D","Tax due (£ million)","102","0","","201819Apr","April 2018-19","111","201819Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"6",217,"V","Property value taxed (£ million)","103","0","","201819Apr","April 2018-19","111","201819Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"7",1550,"C","Number of transactions","101","0","","202223Q1","April to June 2022-23","510","202223","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"8",29.3,"D","Tax due (£ million)","102","0","","202223Q1","April to June 2022-23","510","202223","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"9",753,"V","Property value taxed (£ million)","103","0","","202223Q1","April to June 2022-23","510","202223","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"10",940,"C","Number of transactions","101","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
