"","Data","Measure_Code","Measure_ItemName_ENG","Measure_SortOrder","Measure_Hierarchy","Measure_ItemNotes_ENG","Period_Code","Period_ItemName_ENG","Period_SortOrder","Period_Hierarchy","Period_ItemNotes_ENG","Transactiontype_Code","Transactiontype_ItemName_ENG","Transactiontype_SortOrder","Transactiontype_Hierarchy","Transactiontype_ItemNotes_ENG","Transactionvalue_Code","Transactionvalue_ItemName_ENG","Transactionvalue_SortOrder","Transactionvalue_Hierarchy","Transactionvalue_ItemNotes_ENG","PartitionKey"
"1",9.6,"D","Tax due (£ million)","102","0","","201819","2018-19","100","","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"2",35.3,"D","Tax due (£ million)","102","0","","201819","2018-19","100","","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"3",2051,"V","Property value taxed (£ million)","103","0","","201819","2018-19","100","","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"4",6640,"C","Number of transactions","101","0","","201819","2018-19","100","","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"5",1060,"C","Number of transactions","101","0","","201819","2018-19","100","","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"6",15.1,"D","Tax due (£ million)","102","0","","201819","2018-19","100","","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"7",2220,"C","Number of transactions","101","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"8",1.9,"D","Tax due (£ million)","102","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"9",1860,"C","Number of transactions","101","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"10",360,"C","Number of transactions","101","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"11",6.3,"D","Tax due (£ million)","102","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"12",112,"V","Property value taxed (£ million)","103","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"13",16.9,"D","Tax due (£ million)","102","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"14",698,"V","Property value taxed (£ million)","103","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"15",22.6,"D","Tax due (£ million)","102","0","","202223Q1","April to June 2022-23","510","202223","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"16",2.8,"D","Tax due (£ million)","102","0","","202223Q1","April to June 2022-23","510","202223","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"17",6.3,"D","Tax due (£ million)","102","0","","202223Q1","April to June 2022-23","510","202223","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"18",4.4,"D","Tax due (£ million)","102","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"19",10.5,"D","Tax due (£ million)","102","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"20",586,"V","Property value taxed (£ million)","103","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"21",13.4,"D","Tax due (£ million)","102","0","","202223Q1","April to June 2022-23","510","202223","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
