"","periodCode","periodDescription","transactionTypeCode","transactionTypeDescription","valueBinCode","valueBinDescription","measureCode","measureCodeDescription","dataValue","lowBin","highBin","baseYear"
"12634","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",0,"£0","C","Number of transactions",80,0,0,2019
"12651","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",0,"£0","D","Tax due (£ million)",NA,0,0,2019
"12668","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",0,"£0","N","Rental value taxed (£ million)",0,0,0,2019
"12635","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",1,"£1 to £10,000","C","Number of transactions",90,1,10000,2019
"12652","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",1,"£1 to £10,000","D","Tax due (£ million)",NA,1,10000,2019
"12669","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",1,"£1 to £10,000","N","Rental value taxed (£ million)",0.25,1,10000,2019
"12636","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",2,"£10,001 to £25,000","C","Number of transactions",30,10001,25000,2019
"12653","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",2,"£10,001 to £25,000","D","Tax due (£ million)",0,10001,25000,2019
"12670","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",2,"£10,001 to £25,000","N","Rental value taxed (£ million)",0.25,10001,25000,2019
"12637","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",3,"£25,001 to £50,000","C","Number of transactions",80,25001,50000,2019
"12654","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",3,"£25,001 to £50,000","D","Tax due (£ million)",NA,25001,50000,2019
"12671","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",3,"£25,001 to £50,000","N","Rental value taxed (£ million)",3,25001,50000,2019
"12638","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",4,"£50,001 to £75,000","C","Number of transactions",110,50001,75000,2019
"12655","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",4,"£50,001 to £75,000","D","Tax due (£ million)",0.025,50001,75000,2019
"12672","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",4,"£50,001 to £75,000","N","Rental value taxed (£ million)",7,50001,75000,2019
"12639","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",5,"£75,001 to £100,000","C","Number of transactions",110,75001,1e+05,2019
"12656","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",5,"£75,001 to £100,000","D","Tax due (£ million)",NA,75001,1e+05,2019
"12673","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",5,"£75,001 to £100,000","N","Rental value taxed (£ million)",9,75001,1e+05,2019
"12640","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",6,"£100,001 to £125,000","C","Number of transactions",90,100001,125000,2019
"12657","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",6,"£100,001 to £125,000","D","Tax due (£ million)",NA,100001,125000,2019
"12674","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",6,"£100,001 to £125,000","N","Rental value taxed (£ million)",10,100001,125000,2019
"12641","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",7,"£125,001 to £150,000","C","Number of transactions",110,125001,150000,2019
"12658","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",7,"£125,001 to £150,000","D","Tax due (£ million)",0.025,125001,150000,2019
"12675","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",7,"£125,001 to £150,000","N","Rental value taxed (£ million)",16,125001,150000,2019
"12642","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",8,"£150,001 to £200,000","C","Number of transactions",220,150001,2e+05,2019
"12659","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",8,"£150,001 to £200,000","D","Tax due (£ million)",0.1,150001,2e+05,2019
"12676","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",8,"£150,001 to £200,000","N","Rental value taxed (£ million)",39,150001,2e+05,2019
"12643","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",9,"£200,001 to £250,000","C","Number of transactions",150,200001,250000,2019
"12660","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",9,"£200,001 to £250,000","D","Tax due (£ million)",0.1,200001,250000,2019
"12677","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",9,"£200,001 to £250,000","N","Rental value taxed (£ million)",34,200001,250000,2019
"12644","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",10,"£250,001 to £300,000","C","Number of transactions",120,250001,3e+05,2019
"12661","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",10,"£250,001 to £300,000","D","Tax due (£ million)",0.1,250001,3e+05,2019
"12678","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",10,"£250,001 to £300,000","N","Rental value taxed (£ million)",32,250001,3e+05,2019
"12645","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",11,"£300,001 to £400,000","C","Number of transactions",130,300001,4e+05,2019
"12662","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",11,"£300,001 to £400,000","D","Tax due (£ million)",0.2,300001,4e+05,2019
"12679","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",11,"£300,001 to £400,000","N","Rental value taxed (£ million)",45,300001,4e+05,2019
"12646","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",12,"£400,001 to £500,000","C","Number of transactions",80,400001,5e+05,2019
"12663","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",12,"£400,001 to £500,000","D","Tax due (£ million)",0.2,400001,5e+05,2019
"12680","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",12,"£400,001 to £500,000","N","Rental value taxed (£ million)",36,400001,5e+05,2019
